,ID,SS,SV,Verse1,TS,TV,Verse2,Label
32,33,1,2,الحمد لله رب العالمين,18,46,المال والبنون زينة الحياة الدنيا والباقيات الصالحات خير عند ربك ثوابا وخير أملا,1
33,34,1,2,الحمد لله رب العالمين,25,1,تبارك الذي نزل الفرقان على عبده ليكون للعالمين نذيرا,1
34,35,1,2,الحمد لله رب العالمين,26,23,قال فرعون وما رب العالمين,1
35,36,1,2,الحمد لله رب العالمين,26,24,قال رب السماوات والأرض وما بينهما إن كنتم موقنين,1
36,37,1,4,مالك يوم الدين,2,247,وقال لهم نبيهم إن الله قد بعث لكم طالوت ملكا قالوا أنى يكون له الملك علينا ونحن أحق بالملك منه ولم يؤت سعة من المال قال إن الله اصطفاه عليكم وزاده بسطة في العلم والجسم والله يؤتي ملكه من يشاء والله واسع عليم,1
37,38,1,4,مالك يوم الدين,5,20,وإذ قال موسى لقومه يا قوم اذكروا نعمة الله عليكم إذ جعل فيكم أنبياء وجعلكم ملوكا وآتاكم ما لم يؤت أحدا من العالمين,1
38,39,1,4,مالك يوم الدين,6,73,وهو الذي خلق السماوات والأرض بالحق ويوم يقول كن فيكون قوله الحق وله الملك يوم ينفخ في الصور عالم الغيب والشهادة وهو الحكيم الخبير,1
39,40,1,4,مالك يوم الدين,11,105,يوم يأت لا تكلم نفس إلا بإذنه فمنهم شقي وسعيد,1
40,41,1,4,مالك يوم الدين,18,79,أما السفينة فكانت لمساكين يعملون في البحر فأردت أن أعيبها وكان وراءهم ملك يأخذ كل سفينة غصبا,1
41,42,1,4,مالك يوم الدين,19,40,إنا نحن نرث الأرض ومن عليها وإلينا يرجعون,1
42,43,1,4,مالك يوم الدين,20,108,يومئذ يتبعون الداعي لا عوج له وخشعت الأصوات للرحمن فلا تسمع إلا همسا,1
43,44,1,4,مالك يوم الدين,24,25,يومئذ يوفيهم الله دينهم الحق ويعلمون أن الله هو الحق المبين,2
44,45,1,4,مالك يوم الدين,25,26,الملك يومئذ الحق للرحمن وكان يوما على الكافرين عسيرا,2
45,46,1,4,مالك يوم الدين,37,53,أإذا متنا وكنا ترابا وعظاما أإنا لمدينون,1
46,47,1,4,مالك يوم الدين,40,16,يوم هم بارزون لا يخفى على الله منهم شيء لمن الملك اليوم لله الواحد القهار,2
47,48,1,4,مالك يوم الدين,59,23,هو الله الذي لا إله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز الجبار المتكبر سبحان الله عما يشركون,1
48,49,1,4,مالك يوم الدين,69,18,يومئذ تعرضون لا تخفى منكم خافية,1
49,50,1,4,مالك يوم الدين,78,38,يوم يقوم الروح والملائكة صفا لا يتكلمون إلا من أذن له الرحمن وقال صوابا,1
50,51,1,4,مالك يوم الدين,114,1,قل أعوذ برب الناس,0
51,52,1,4,مالك يوم الدين,114,2,ملك الناس,1
52,53,1,5,إياك نعبد وإياك نستعين,1,2,الحمد لله رب العالمين,0
53,54,1,5,إياك نعبد وإياك نستعين,1,3,الرحمن الرحيم,0
54,55,1,5,إياك نعبد وإياك نستعين,1,4,مالك يوم الدين,0
55,56,1,5,إياك نعبد وإياك نستعين,1,6,اهدنا الصراط المستقيم,0
56,57,1,5,إياك نعبد وإياك نستعين,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,0
57,58,1,5,إياك نعبد وإياك نستعين,11,123,ولله غيب السماوات والأرض وإليه يرجع الأمر كله فاعبده وتوكل عليه وما ربك بغافل عما تعملون,2
58,59,1,5,إياك نعبد وإياك نستعين,15,97,ولقد نعلم أنك يضيق صدرك بما يقولون,0
59,60,1,5,إياك نعبد وإياك نستعين,15,98,فسبح بحمد ربك وكن من الساجدين,1
60,61,1,5,إياك نعبد وإياك نستعين,15,99,واعبد ربك حتى يأتيك اليقين,2
61,62,1,5,إياك نعبد وإياك نستعين,17,1,سبحان الذي أسرى بعبده ليلا من المسجد الحرام إلى المسجد الأقصى الذي باركنا حوله لنريه من آياتنا إنه هو السميع البصير,1
62,63,1,5,إياك نعبد وإياك نستعين,18,1,الحمد لله الذي أنزل على عبده الكتاب ولم يجعل له عوجا,1
63,64,1,5,إياك نعبد وإياك نستعين,67,29,قل هو الرحمن آمنا به وعليه توكلنا فستعلمون من هو في ضلال مبين,2
64,65,1,5,إياك نعبد وإياك نستعين,72,19,وأنه لما قام عبد الله يدعوه كادوا يكونون عليه لبدا,1
65,67,1,6,اهدنا الصراط المستقيم,3,8,ربنا لا تزغ قلوبنا بعد إذ هديتنا وهب لنا من لدنك رحمة إنك أنت الوهاب,1
66,69,1,6,اهدنا الصراط المستقيم,7,43,ونزعنا ما في صدورهم من غل تجري من تحتهم الأنهار وقالوا الحمد لله الذي هدانا لهذا وما كنا لنهتدي لولا أن هدانا الله لقد جاءت رسل ربنا بالحق ونودوا أن تلكم الجنة أورثتموها بما كنتم تعملون,1
67,70,1,6,اهدنا الصراط المستقيم,16,121,شاكرا لأنعمه اجتباه وهداه إلى صراط مستقيم,2
68,71,1,6,اهدنا الصراط المستقيم,21,87,وذا النون إذ ذهب مغاضبا فظن أن لن نقدر عليه فنادى في الظلمات أن لا إله إلا أنت سبحانك إني كنت من الظالمين,1
69,72,1,6,اهدنا الصراط المستقيم,28,24,فسقى لهما ثم تولى إلى الظل فقال رب إني لما أنزلت إلي من خير فقير,1
70,73,1,6,اهدنا الصراط المستقيم,37,23,من دون الله فاهدوهم إلى صراط الجحيم,1
71,74,1,6,اهدنا الصراط المستقيم,42,52,وكذلك أوحينا إليك روحا من أمرنا ما كنت تدري ما الكتاب ولا الإيمان ولكن جعلناه نورا نهدي به من نشاء من عبادنا وإنك لتهدي إلى صراط مستقيم,1
72,75,1,6,اهدنا الصراط المستقيم,90,10,وهديناه النجدين,2
73,76,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,1,6,اهدنا الصراط المستقيم,1
74,77,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,2,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين,2
75,78,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,3,7,هو الذي أنزل عليك الكتاب منه آيات محكمات هن أم الكتاب وأخر متشابهات فأما الذين في قلوبهم زيغ فيتبعون ما تشابه منه ابتغاء الفتنة وابتغاء تأويله وما يعلم تأويله إلا الله والراسخون في العلم يقولون آمنا به كل من عند ربنا وما يذكر إلا أولو الألباب,1
76,79,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,4,69,ومن يطع الله والرسول فأولئك مع الذين أنعم الله عليهم من النبيين والصديقين والشهداء والصالحين وحسن أولئك رفيقا,2
77,80,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,4,70,ذلك الفضل من الله وكفى بالله عليما,0
78,81,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,5,2,يا أيها الذين آمنوا لا تحلوا شعائر الله ولا الشهر الحرام ولا الهدي ولا القلائد ولا آمين البيت الحرام يبتغون فضلا من ربهم ورضوانا وإذا حللتم فاصطادوا ولا يجرمنكم شنآن قوم أن صدوكم عن المسجد الحرام أن تعتدوا وتعاونوا على البر والتقوى ولا تعاونوا على الإثم والعدوان واتقوا الله إن الله شديد العقاب,0
79,82,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,5,60,قل هل أنبئكم بشر من ذلك مثوبة عند الله من لعنه الله وغضب عليه وجعل منهم القردة والخنازير وعبد الطاغوت أولئك شر مكانا وأضل عن سواء السبيل,2
80,83,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,5,77,قل يا أهل الكتاب لا تغلوا في دينكم غير الحق ولا تتبعوا أهواء قوم قد ضلوا من قبل وأضلوا كثيرا وضلوا عن سواء السبيل,2
81,84,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,5,78,لعن الذين كفروا من بني إسرائيل على لسان داوود وعيسى ابن مريم ذلك بما عصوا وكانوا يعتدون,2
82,85,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,5,79,كانوا لا يتناهون عن منكر فعلوه لبئس ما كانوا يفعلون,1
83,86,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,7,186,من يضلل الله فلا هادي له ويذرهم في طغيانهم يعمهون,1
84,87,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,10,88,وقال موسى ربنا إنك آتيت فرعون وملأه زينة وأموالا في الحياة الدنيا ربنا ليضلوا عن سبيلك ربنا اطمس على أموالهم واشدد على قلوبهم فلا يؤمنوا حتى يروا العذاب الأليم,1
85,88,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,10,89,قال قد أجيبت دعوتكما فاستقيما ولا تتبعان سبيل الذين لا يعلمون,0
86,89,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,18,17,وترى الشمس إذا طلعت تزاور عن كهفهم ذات اليمين وإذا غربت تقرضهم ذات الشمال وهم في فجوة منه ذلك من آيات الله من يهد الله فهو المهتد ومن يضلل فلن تجد له وليا مرشدا,1
87,90,1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,58,14,ألم تر إلى الذين تولوا قوما غضب الله عليهم ما هم منكم ولا منهم ويحلفون على الكذب وهم يعلمون,2
88,92,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,10,57,يا أيها الناس قد جاءتكم موعظة من ربكم وشفاء لما في الصدور وهدى ورحمة للمؤمنين,2
89,93,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,17,82,وننزل من القرآن ما هو شفاء ورحمة للمؤمنين ولا يزيد الظالمين إلا خسارا,2
90,94,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,32,1,الم,0
91,95,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,32,2,تنزيل الكتاب لا ريب فيه من رب العالمين,2
92,96,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,41,44,ولو جعلناه قرآنا أعجميا لقالوا لولا فصلت آياته أأعجمي وعربي قل هو للذين آمنوا هدى وشفاء والذين لا يؤمنون في آذانهم وقر وهو عليهم عمى أولئك ينادون من مكان بعيد,2
93,97,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,2,1,الم,0
94,99,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,1
95,100,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,9,61,ومنهم الذين يؤذون النبي ويقولون هو أذن قل أذن خير لكم يؤمن بالله ويؤمن للمؤمنين ورحمة للذين آمنوا منكم والذين يؤذون رسول الله لهم عذاب أليم,1
96,101,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,12,17,قالوا يا أبانا إنا ذهبنا نستبق وتركنا يوسف عند متاعنا فأكله الذئب وما أنت بمؤمن لنا ولو كنا صادقين,1
97,102,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,35,28,ومن الناس والدواب والأنعام مختلف ألوانه كذلك إنما يخشى الله من عباده العلماء إن الله عزيز غفور,1
98,103,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,50,33,من خشي الرحمن بالغيب وجاء بقلب منيب,2
99,104,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,67,12,إن الذين يخشون ربهم بالغيب لهم مغفرة وأجر كبير,2
100,105,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,84,25,إلا الذين آمنوا وعملوا الصالحات لهم أجر غير ممنون,1
101,106,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,2,3,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,1
102,107,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,2,285,آمن الرسول بما أنزل إليه من ربه والمؤمنون كل آمن بالله وملائكته وكتبه ورسله لا نفرق بين أحد من رسله وقالوا سمعنا وأطعنا غفرانك ربنا وإليك المصير,2
103,108,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,3,199,وإن من أهل الكتاب لمن يؤمن بالله وما أنزل إليكم وما أنزل إليهم خاشعين لله لا يشترون بآيات الله ثمنا قليلا أولئك لهم أجرهم عند ربهم إن الله سريع الحساب,2
104,109,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,4,47,يا أيها الذين أوتوا الكتاب آمنوا بما نزلنا مصدقا لما معكم من قبل أن نطمس وجوها فنردها على أدبارها أو نلعنهم كما لعنا أصحاب السبت وكان أمر الله مفعولا,1
105,110,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,4,136,يا أيها الذين آمنوا آمنوا بالله ورسوله والكتاب الذي نزل على رسوله والكتاب الذي أنزل من قبل ومن يكفر بالله وملائكته وكتبه ورسله واليوم الآخر فقد ضل ضلالا بعيدا,2
106,111,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,4,152,والذين آمنوا بالله ورسله ولم يفرقوا بين أحد منهم أولئك سوف يؤتيهم أجورهم وكان الله غفورا رحيما,2
107,112,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,5,68,قل يا أهل الكتاب لستم على شيء حتى تقيموا التوراة والإنجيل وما أنزل إليكم من ربكم وليزيدن كثيرا منهم ما أنزل إليك من ربك طغيانا وكفرا فلا تأس على القوم الكافرين,1
108,113,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,28,52,الذين آتيناهم الكتاب من قبله هم به يؤمنون,1
109,114,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,28,53,وإذا يتلى عليهم قالوا آمنا به إنه الحق من ربنا إنا كنا من قبله مسلمين,1
110,115,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,28,54,أولئك يؤتون أجرهم مرتين بما صبروا ويدرءون بالحسنة السيئة ومما رزقناهم ينفقون,1
111,116,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,29,46,ولا تجادلوا أهل الكتاب إلا بالتي هي أحسن إلا الذين ظلموا منهم وقولوا آمنا بالذي أنزل إلينا وأنزل إليكم وإلهنا وإلهكم واحد ونحن له مسلمون,2
112,117,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,87,1,سبح اسم ربك الأعلى,0
113,118,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,87,2,الذي خلق فسوى,0
114,119,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,87,3,والذي قدر فهدى,0
115,120,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,87,4,والذي أخرج المرعى,0
116,121,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,87,5,فجعله غثاء أحوى,0
118,122,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,2,1,الم,0
119,123,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,2,2,ذلك الكتاب لا ريب فيه هدى للمتقين,0
120,124,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,2,4,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,1
121,125,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,0
122,126,2,5,أولئك على هدى من ربهم وأولئك هم المفلحون,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,0
123,127,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,2,145,ولئن أتيت الذين أوتوا الكتاب بكل آية ما تبعوا قبلتك وما أنت بتابع قبلتهم وما بعضهم بتابع قبلة بعض ولئن اتبعت أهواءهم من بعد ما جاءك من العلم إنك إذا لمن الظالمين,2
124,128,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,10,96,إن الذين حقت عليهم كلمت ربك لا يؤمنون,2
125,129,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,10,97,ولو جاءتهم كل آية حتى يروا العذاب الأليم,1
126,130,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,11,12,فلعلك تارك بعض ما يوحى إليك وضائق به صدرك أن يقولوا لولا أنزل عليه كنز أو جاء معه ملك إنما أنت نذير والله على كل شيء وكيل,1
127,131,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,13,40,وإن ما نرينك بعض الذي نعدهم أو نتوفينك فإنما عليك البلاغ وعلينا الحساب,1
128,132,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,14,28,ألم تر إلى الذين بدلوا نعمت الله كفرا وأحلوا قومهم دار البوار,1
129,133,2,6,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,14,29,جهنم يصلونها وبئس القرار,0
130,134,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,4,155,فبما نقضهم ميثاقهم وكفرهم بآيات الله وقتلهم الأنبياء بغير حق وقولهم قلوبنا غلف بل طبع الله عليها بكفرهم فلا يؤمنون إلا قليلا,2
131,135,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,6,110,ونقلب أفئدتهم وأبصارهم كما لم يؤمنوا به أول مرة ونذرهم في طغيانهم يعمهون,2
132,136,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,42,24,أم يقولون افترى على الله كذبا فإن يشإ الله يختم على قلبك ويمح الله الباطل ويحق الحق بكلماته إنه عليم بذات الصدور,1
133,137,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,45,23,أفرأيت من اتخذ إلهه هواه وأضله الله على علم وختم على سمعه وقلبه وجعل على بصره غشاوة فمن يهديه من بعد الله أفلا تذكرون,2
134,138,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,56,22,وحور عين,0
135,139,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,61,5,وإذ قال موسى لقومه يا قوم لم تؤذونني وقد تعلمون أني رسول الله إليكم فلما زاغوا أزاغ الله قلوبهم والله لا يهدي القوم الفاسقين,2
136,140,2,7,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,83,14,كلا بل ران على قلوبهم ما كانوا يكسبون,2
137,141,2,8,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,63,1,إذا جاءك المنافقون قالوا نشهد إنك لرسول الله والله يعلم إنك لرسوله والله يشهد إن المنافقين لكاذبون,2
138,143,2,9,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,58,18,يوم يبعثهم الله جميعا فيحلفون له كما يحلفون لكم ويحسبون أنهم على شيء ألا إنهم هم الكاذبون,1
139,144,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,9,101,وممن حولكم من الأعراب منافقون ومن أهل المدينة مردوا على النفاق لا تعلمهم نحن نعلمهم سنعذبهم مرتين ثم يردون إلى عذاب عظيم,1
140,145,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,9,124,وإذا ما أنزلت سورة فمنهم من يقول أيكم زادته هذه إيمانا فأما الذين آمنوا فزادتهم إيمانا وهم يستبشرون,2
141,146,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,9,125,وأما الذين في قلوبهم مرض فزادتهم رجسا إلى رجسهم وماتوا وهم كافرون,2
142,147,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,33,60,لئن لم ينته المنافقون والذين في قلوبهم مرض والمرجفون في المدينة لنغرينك بهم ثم لا يجاورونك فيها إلا قليلا,2
143,148,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,33,61,ملعونين أينما ثقفوا أخذوا وقتلوا تقتيلا,1
144,149,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,34,54,وحيل بينهم وبين ما يشتهون كما فعل بأشياعهم من قبل إنهم كانوا في شك مريب,1
145,150,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,47,17,والذين اهتدوا زادهم هدى وآتاهم تقواهم,1
146,151,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,47,30,ولو نشاء لأريناكهم فلعرفتهم بسيماهم ولتعرفنهم في لحن القول والله يعلم أعمالكم,1
147,152,2,10,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,57,14,ينادونهم ألم نكن معكم قالوا بلى ولكنكم فتنتم أنفسكم وتربصتم وارتبتم وغرتكم الأماني حتى جاء أمر الله وغركم بالله الغرور,1
149,153,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,4,144,يا أيها الذين آمنوا لا تتخذوا الكافرين أولياء من دون المؤمنين أتريدون أن تجعلوا لله عليكم سلطانا مبينا,0
150,154,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,4,145,إن المنافقين في الدرك الأسفل من النار ولن تجد لهم نصيرا,0
151,155,2,11,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون,8,73,والذين كفروا بعضهم أولياء بعض إلا تفعلوه تكن فتنة في الأرض وفساد كبير,2
153,156,2,13,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون,4,5,ولا تؤتوا السفهاء أموالكم التي جعل الله لكم قياما وارزقوهم فيها واكسوهم وقولوا لهم قولا معروفا,1
154,157,2,14,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون,6,112,وكذلك جعلنا لكل نبي عدوا شياطين الإنس والجن يوحي بعضهم إلى بعض زخرف القول غرورا ولو شاء ربك ما فعلوه فذرهم وما يفترون,1
